idx	ts	log	tipo	status	detail
22	2026-05-13T19:40:34.877Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	rejected	old_string ausente (len=202)
23	2026-05-13T19:41:39.838Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	rejected	old_string ausente (len=72)
24	2026-05-13T19:41:44.687Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	rejected	old_string ausente (len=64)
25	2026-05-13T19:41:49.141Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	rejected	old_string ausente (len=67)
26	2026-05-13T19:41:54.153Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	rejected	old_string ausente (len=68)
27	2026-05-13T19:42:00.515Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	applied	Edit (1 ocorr, replace_all=False)
28	2026-05-13T19:49:37.794Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	rejected	old_string ausente (len=201)
29	2026-05-13T19:49:54.033Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	rejected	old_string ausente (len=261)
30	2026-05-13T19:50:01.769Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	rejected	old_string ausente (len=106)
31	2026-05-13T19:50:57.354Z	-Users-imac-Projetos-P1-Fast--claude-worktrees-competent-volhard-b272c8/e908e732-87d7-44ae-a04e-4691e9af6a38.jsonl	Edit	rejected	old_string ausente (len=1002)
